,SentimentText
0,                     is so sad for my APL friend.............
1,                   I missed the New Moon trailer...
2,              omg its already 7:30 :O
3,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...
4,         i think mi bf is cheating on me!!!       T_T
5,         or i just worry too much?        
6,       Juuuuuuuuuuuuuuuuussssst Chillin!!
7,       Sunny Again        Work Tomorrow  :-|       TV Tonight
8,      handed in my uniform today . i miss you already
9,      hmmmm.... i wonder how she my number @-)
10,      I must think about positive..
11,      thanks to all the haters up in my face all day! 112-102
12,      this weekend has sucked so far
13,     jb isnt showing in australia any more!
14,     ok thats it you win.
15,    &lt;-------- This is the way i feel right now...
16,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX"
17,    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate
18,    HUGE roll of thunder just now...SO scary!!!!
19,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.
20,    Very sad about Iran.
21,    wompppp wompp
22,    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome
23,   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*
24,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
25,   BoRinG   ): whats wrong with him??     Please tell me........   :-/
26,   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.
27,"   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. "
28,"   goodbye exams, HELLO ALCOHOL TONIGHT "
29,   I didn't realize it was THAT deep. Geez give a girl a warning atleast!
30,   I hate it when any athlete appears to tear an ACL on live television.
31,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today
32,  -- Meet your Meat http://bit.ly/15SSCI
33,   My horsie is moving on Saturday morning.
34,   No Sat off...Need to work 6 days a week 
35,   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay
36,"   SOX!     Floyd was great, but relievers need a scolding!"
37,   times by like a million
38,   uploading pictures on friendster 
39,   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'(
40,  &amp;&amp;Fightiin Wiit The Babes...
41,  (: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn21w6o7
42,  *enough said*
43,"  ... Do I need to even say it?  Do I?  Well, here I go anyways:  CHRIS CORNELL IN CHICAGO!  ... TONIGHT!    "
44,  ... health class (what a joke!)
45,  @ginaaa &lt;3 GO TO THE SHOW TONIGHT
46,  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now
47, - All Time Low shall be my motivation for the rest of the week.
48,"  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody"
49,  another year of Lakers .. That's neither magic nor fun ...
50,  baddest day eveer. 
51,  bathroom is clean..... now on to more enjoyable tasks......
52,  boom boom pow
53,  but i'm proud.
54,  congrats to helio though
55,  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert. 
56,  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC
57,  go give ur mom a hug right now. http://bit.ly/azFwv
58,  Going To See Harry Sunday Happiness 
59,  Hand quilting it is then...
60,  hate u ...  leysh t9ar5 ... =((((((( ..
61,=-  I always get what I want
62,  I bend backwards  
63,  i get off work sooooon! i miss cody booo. haven't seen him in foreverr!
64,  I hate allergies. Should I get my hair cut tomorrow? I'm taking a public poll...
65, - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us
66,  I miss Earl
67,  I miss New Jersey
68,"  I missed the first hour of SYTYCD last night, and I can't find it online!"
69,  I need a U2 fix NOW!
70,  I never thought I'd become second choice...
71,  I think I may be too friendly...lol... o well...
72,  I think Manuel (my Basil plant) only has days to live   
73,  I wanna be at home @ church...I wonder wht they are doing?
74,  i wanna make my own pizza
75,"  i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x"
76,  i want a hug
77,  I want Miley to tour Australia
78,  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels
79,  i was too slow to get $1 Up tix
80,"  I will send sunshine to Northern Ireland, are you going swimming today @kezbat"
81,  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather   
82,"  i would be so much happier if the walls of my bedroom were painted white,"
83,  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall
84,  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me
85,  I'm really going to bed now...
86,  im sick  'cough cough'
87,  in cab headed to the airport!  going home.... &lt;christy&gt;
88,  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope it'll work
89,  Jin has a twitter.
90,  jonas day is almost over... 
91,  Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.
92,  just gonna smile...cuz it is what it is..and im not sure what more they could want..
93,"  Just got home, and I got to see my friend Zahra whom I haven't seen since We graduated!!!  That makes me so happy."
94, - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6
95,  mi momacita won't let me go to my bf's bball game!!! grrr!!!
96,  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....
97,  My new car was stolen....by my mother who wanted to go pose at church.
98,"  no hang out with the girls 2day. 2moro, hope so......"
